mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
8.571,0.981,0.068,0.019,0.06,0.015,0.162,52.162,0.0
9.074,0.98,0.071,0.017,0.06,0.013,0.161,52.263,0.0
9.034,0.983,0.081,0.019,0.05,0.012,0.162,60.458,0.0
8.908,0.984,0.062,0.018,0.055,0.014,0.149,58.889,0.0
9.284,0.982,0.076,0.02,0.055,0.014,0.165,51.4,0.0
9.425,0.981,0.057,0.019,0.058,0.013,0.147,57.903,0.0
9.131,0.982,0.075,0.019,0.054,0.014,0.162,58.837,0.0
8.865,0.983,0.053,0.017,0.054,0.012,0.136,50.365,0.0
9.248,0.982,0.056,0.017,0.056,0.012,0.142,51.402,0.0
9.162,0.985,0.064,0.017,0.045,0.011,0.136,51.101,0.0
8.962,0.983,0.064,0.02,0.054,0.014,0.151,51.062,0.0
8.575,0.982,0.053,0.018,0.055,0.013,0.14,50.121,0.0
8.493,0.982,0.081,0.021,0.056,0.013,0.17,49.993,0.0
8.726,0.984,0.067,0.019,0.052,0.012,0.15,50.346,0.0
8.9,0.987,0.056,0.017,0.043,0.01,0.126,50.197,0.0
8.826,0.986,0.057,0.018,0.042,0.01,0.126,50.135,0.0
9.298,0.986,0.057,0.017,0.045,0.012,0.131,51.15,0.0
9.338,0.983,0.054,0.02,0.055,0.013,0.141,50.929,0.0
9.259,0.987,0.056,0.017,0.043,0.011,0.127,50.063,0.0
9.151,0.987,0.047,0.017,0.038,0.009,0.11,50.334,0.0
8.88,0.985,0.056,0.018,0.043,0.011,0.128,50.473,0.0
8.772,0.985,0.082,0.016,0.044,0.012,0.155,51.523,0.0
9.186,0.986,0.056,0.02,0.042,0.011,0.129,50.914,0.0
8.77,0.989,0.07,0.018,0.035,0.01,0.133,49.529,0.0
9.326,0.987,0.047,0.016,0.041,0.011,0.114,51.178,0.0
8.716,0.987,0.049,0.018,0.041,0.01,0.118,51.088,0.0
9.129,0.988,0.054,0.019,0.043,0.01,0.126,56.92,0.0
8.312,0.989,0.061,0.016,0.037,0.01,0.124,60.122,0.0
8.328,0.988,0.065,0.017,0.034,0.01,0.126,61.284,0.0
8.466,0.988,0.045,0.016,0.037,0.01,0.109,61.153,0.0
8.144,0.988,0.055,0.019,0.037,0.011,0.123,59.988,0.0
8.22,0.988,0.057,0.016,0.037,0.01,0.12,60.501,0.0
8.236,0.99,0.055,0.019,0.033,0.01,0.116,60.804,0.0
8.762,0.988,0.056,0.017,0.039,0.01,0.122,60.297,0.0
8.833,0.989,0.054,0.016,0.032,0.009,0.111,51.557,0.0
8.373,0.987,0.057,0.017,0.044,0.012,0.131,50.826,0.0
8.286,0.99,0.05,0.016,0.031,0.01,0.107,50.99,0.0
8.801,0.989,0.046,0.015,0.033,0.009,0.102,50.725,0.0
8.271,0.989,0.056,0.015,0.03,0.01,0.111,51.077,0.0
8.434,0.99,0.051,0.015,0.034,0.009,0.109,50.944,0.0
8.462,0.99,0.056,0.016,0.03,0.009,0.111,51.297,0.0
8.454,0.986,0.045,0.017,0.045,0.016,0.122,52.529,0.0
8.809,0.989,0.056,0.017,0.034,0.013,0.12,51.351,0.0
8.752,0.99,0.05,0.017,0.031,0.009,0.107,51.224,0.0
8.228,0.99,0.049,0.015,0.031,0.009,0.104,50.435,0.0
8.275,0.989,0.049,0.017,0.034,0.009,0.11,51.773,0.0
8.711,0.991,0.053,0.015,0.028,0.009,0.105,52.026,0.0
9.241,0.99,0.06,0.017,0.034,0.009,0.12,54.385,0.0
8.774,0.991,0.049,0.015,0.03,0.008,0.102,60.656,0.0
8.617,0.991,0.046,0.015,0.029,0.008,0.098,53.691,0.0
8.545,0.991,0.051,0.017,0.029,0.008,0.105,51.251,0.0
7.859,0.991,0.046,0.016,0.03,0.007,0.099,50.18,0.0
8.193,0.991,0.045,0.015,0.029,0.007,0.096,50.741,0.0
7.808,0.989,0.045,0.015,0.033,0.009,0.102,52.96,0.0
7.988,0.99,0.05,0.016,0.031,0.009,0.106,60.934,0.0
8.388,0.991,0.054,0.014,0.03,0.008,0.105,61.019,0.0
8.673,0.99,0.043,0.014,0.033,0.009,0.098,61.336,0.0
8.75,0.992,0.047,0.014,0.024,0.008,0.093,60.775,0.0
8.228,0.99,0.047,0.017,0.03,0.009,0.104,60.472,0.0
8.652,0.991,0.035,0.015,0.03,0.01,0.089,60.415,0.0
8.448,0.991,0.033,0.014,0.027,0.008,0.083,60.747,0.0
8.614,0.989,0.061,0.015,0.034,0.009,0.119,60.091,0.0
9.256,0.992,0.045,0.014,0.024,0.007,0.09,54.546,0.0
9.278,0.99,0.052,0.015,0.032,0.008,0.108,51.815,0.0
8.359,0.991,0.067,0.016,0.027,0.008,0.118,51.407,0.0
8.65,0.992,0.045,0.015,0.025,0.007,0.091,51.551,0.0
8.878,0.991,0.055,0.014,0.026,0.007,0.103,51.143,0.0
8.613,0.991,0.044,0.015,0.026,0.008,0.092,52.073,0.0
8.793,0.993,0.045,0.015,0.022,0.008,0.089,51.894,0.0
8.352,0.994,0.05,0.014,0.021,0.006,0.091,50.978,0.0
8.11,0.993,0.035,0.014,0.023,0.008,0.08,51.94,0.0
8.228,0.991,0.045,0.015,0.031,0.007,0.099,52.149,0.0
8.441,0.992,0.063,0.016,0.026,0.008,0.113,51.781,0.0
8.585,0.992,0.044,0.015,0.026,0.008,0.093,50.963,0.0
8.475,0.993,0.039,0.012,0.022,0.006,0.079,51.67,0.0
8.599,0.993,0.057,0.013,0.022,0.006,0.099,51.523,0.0
8.661,0.991,0.058,0.015,0.027,0.007,0.107,50.862,0.0
8.676,0.991,0.045,0.016,0.028,0.007,0.095,52.461,0.0
8.889,0.993,0.052,0.013,0.022,0.007,0.094,52.314,0.0
8.803,0.993,0.058,0.013,0.021,0.006,0.098,50.857,0.0
9.292,0.994,0.038,0.013,0.019,0.006,0.077,51.996,0.0
7.989,0.993,0.046,0.013,0.021,0.006,0.086,55.83,0.0
8.038,0.992,0.042,0.015,0.025,0.007,0.089,55.508,0.0
7.892,0.993,0.048,0.015,0.022,0.007,0.093,50.743,0.0
8.313,0.994,0.039,0.014,0.021,0.006,0.08,52.178,0.0
8.138,0.993,0.057,0.014,0.025,0.008,0.104,51.061,0.0
7.819,0.991,0.043,0.014,0.027,0.007,0.092,54.405,0.0
7.967,0.991,0.045,0.014,0.027,0.006,0.091,58.577,0.0
7.906,0.995,0.042,0.013,0.017,0.005,0.077,53.309,0.0
7.99,0.994,0.05,0.013,0.018,0.006,0.086,51.991,0.0
7.981,0.992,0.061,0.014,0.024,0.007,0.105,51.919,0.0
8.108,0.992,0.044,0.014,0.024,0.007,0.087,50.836,0.0
8.019,0.993,0.052,0.013,0.021,0.008,0.095,51.529,0.0
7.913,0.993,0.048,0.013,0.023,0.007,0.091,51.719,0.0
8.248,0.992,0.046,0.013,0.024,0.006,0.089,51.123,0.0
8.265,0.993,0.054,0.014,0.021,0.007,0.095,52.391,0.0
7.758,0.994,0.04,0.013,0.02,0.006,0.078,50.504,0.0
7.903,0.994,0.041,0.011,0.018,0.006,0.077,50.055,0.0
8.22,0.994,0.037,0.012,0.019,0.007,0.074,51.556,0.0
8.14,0.992,0.044,0.014,0.024,0.007,0.089,50.732,0.0
8.233,0.994,0.044,0.014,0.02,0.006,0.084,52.538,0.0
8.006,0.993,0.042,0.013,0.023,0.006,0.083,51.329,0.0
